000033, SEQID 14424, CYCLE 016 1500, SIZE 4140544, GAMMA 0.000, GAIN 64, SHUTTER 77, LAT 24.52077167, LON 121.83652000, ALT 27.100, UTC 04:39:10.00
000034, SEQID 14425, CYCLE 016 2000, SIZE 4137472, GAMMA 0.000, GAIN 64, SHUTTER 77, LAT 24.52077167, LON 121.83652000, ALT 27.100, UTC 04:39:10.00
000035, SEQID 14426, CYCLE 016 2500, SIZE 4130816, GAMMA 0.000, GAIN 64, SHUTTER 77, LAT 24.52077167, LON 121.83652000, ALT 27.100, UTC 04:39:10.00
000036, SEQID 14427, CYCLE 016 3000, SIZE 4126208, GAMMA 0.000, GAIN 64, SHUTTER 77, LAT 24.52077167, LON 121.83652000, ALT 27.100, UTC 04:39:10.00
000037, SEQID 14428, CYCLE 016 3500, SIZE 4118528, GAMMA 0.000, GAIN 64, SHUTTER 77, LAT 24.52077167, LON 121.83652000, ALT 27.100, UTC 04:39:10.00
000038, SEQID 14429, CYCLE 016 4000, SIZE 4114944, GAMMA 0.000, GAIN 64, SHUTTER 77, LAT 24.52071833, LON 121.83656667, ALT 28.100, UTC 04:39:11.00
000039, SEQID 14430, CYCLE 016 4500, SIZE 4106240, GAMMA 0.000, GAIN 64, SHUTTER 77, LAT 24.52071833, LON 121.83656667, ALT 28.100, UTC 04:39:11.00
000040, SEQID 14431, CYCLE 016 5000, SIZE 4100096, GAMMA 0.000, GAIN 64, SHUTTER 77, LAT 24.52071833, LON 121.83656667, ALT 28.100, UTC 04:39:11.00
000041, SEQID 14432, CYCLE 016 5500, SIZE 4096000, GAMMA 0.000, GAIN 64, SHUTTER 77, LAT 24.52071833, LON 121.83656667, ALT 28.100, UTC 04:39:11.00
000042, SEQID 14433, CYCLE 016 6000, SIZE 4087808, GAMMA 0.000, GAIN 64, SHUTTER 77, LAT 24.52071833, LON 121.83656667, ALT 28.100, UTC 04:39:11.00
000043, SEQID 14434, CYCLE 016 6500, SIZE 4076544, GAMMA 0.000, GAIN 64, SHUTTER 77, LAT 24.52071833, LON 121.83656667, ALT 28.100, UTC 04:39:11.00
000044, SEQID 14435, CYCLE 016 7000, SIZE 4065792, GAMMA 0.000, GAIN 64, SHUTTER 77, LAT 24.52071833, LON 121.83656667, ALT 28.100, UTC 04:39:11.00
000045, SEQID 14436, CYCLE 016 7500, SIZE 4051968, GAMMA 0.000, GAIN 64, SHUTTER 77, LAT 24.52071833, LON 121.83656667, ALT 28.100, UTC 04:39:11.00
000046, SEQID 14437, CYCLE 017 0000, SIZE 3742208, GAMMA 0.000, GAIN 72, SHUTTER 76, LAT 24.52071833, LON 121.83656667, ALT 28.100, UTC 04:39:11.00
000047, SEQID 14438, CYCLE 017 0500, SIZE 4118528, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52071833, LON 121.83656667, ALT 28.100, UTC 04:39:11.00
000048, SEQID 14439, CYCLE 017 1000, SIZE 4117504, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52071833, LON 121.83656667, ALT 28.100, UTC 04:39:11.00
000049, SEQID 14440, CYCLE 017 1500, SIZE 4121600, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52071833, LON 121.83656667, ALT 28.100, UTC 04:39:11.00
000050, SEQID 14441, CYCLE 017 2000, SIZE 4122624, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52068167, LON 121.83662167, ALT 28.900, UTC 04:39:12.00
000051, SEQID 14442, CYCLE 017 2500, SIZE 4122624, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52068167, LON 121.83662167, ALT 28.900, UTC 04:39:12.00
000052, SEQID 14443, CYCLE 017 3000, SIZE 4121088, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52068167, LON 121.83662167, ALT 28.900, UTC 04:39:12.00
000053, SEQID 14444, CYCLE 017 3500, SIZE 4117504, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52068167, LON 121.83662167, ALT 28.900, UTC 04:39:12.00
000054, SEQID 14445, CYCLE 017 4000, SIZE 4115456, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52068167, LON 121.83662167, ALT 28.900, UTC 04:39:12.00
000055, SEQID 14446, CYCLE 017 4500, SIZE 4112896, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52068167, LON 121.83662167, ALT 28.900, UTC 04:39:12.00
000056, SEQID 14447, CYCLE 017 5000, SIZE 4117504, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52068167, LON 121.83662167, ALT 28.900, UTC 04:39:12.00
000057, SEQID 14448, CYCLE 017 5500, SIZE 4116992, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52068167, LON 121.83662167, ALT 28.900, UTC 04:39:12.00
000058, SEQID 14449, CYCLE 017 6000, SIZE 4119552, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52068167, LON 121.83662167, ALT 28.900, UTC 04:39:12.00
000059, SEQID 14450, CYCLE 017 6500, SIZE 4119552, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52068167, LON 121.83662167, ALT 28.900, UTC 04:39:12.00
000060, SEQID 14451, CYCLE 017 7000, SIZE 4124160, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52068167, LON 121.83662167, ALT 28.900, UTC 04:39:12.00
