120.7548 22.3196 15.6000 1.32 c
121.1218 22.6721 16.2500 2.40 c
121.6261 24.5518 44.6600 2.75 c
120.7348 21.8060 65.0000 2.77 c
120.6243 23.5848 13.9300 1.50 c
121.8300 24.5490 7.8900 2.01 c
121.3630 22.2718 10.3500 2.65 c
121.4178 22.2330 29.3300 2.69 c
120.7738 22.2841 18.2700 1.32 c
120.7941 22.2830 17.5000 1.60 c
122.2036 24.8473 10.0700 2.35 c
122.3813 24.8705 15.3800 2.22 c
120.3310 22.0580 29.4800 2.32 c
120.3406 22.0825 44.2900 2.51 c
120.4571 22.0328 32.4100 3.03 c
120.4820 23.5171 11.5500 2.03 c
120.4330 22.0375 45.7700 2.70 c
120.4176 22.0198 47.0100 3.48 c
122.3743 24.0648 27.1500 2.77 c
120.5788 21.9170 40.2500 2.66 c
120.7736 22.2345 7.7800 3.17 c
120.4366 21.9288 38.0200 2.56 c
120.7731 22.2523 13.9500 2.46 c
121.2711 21.9901 54.2400 2.66 c
120.9935 23.9015 30.4300 1.83 c
121.8725 24.3985 12.6300 2.84 c
121.6850 24.9241 103.0700 3.17 c
120.4525 22.0386 44.8600 2.54 c
120.2303 22.1930 34.2100 2.99 c
121.3753 23.7175 21.6300 2.07 c
120.5843 21.9093 27.7200 2.72 c
120.4580 21.9368 48.5800 2.80 c
120.5458 21.9738 47.3500 3.28 c
120.4996 22.0380 42.5300 3.51 c
120.5045 21.9890 47.3500 2.59 c
121.8193 24.5116 14.9900 1.60 c
120.4040 21.9485 40.6200 2.80 c
120.8855 22.5260 8.5900 1.59 c
120.7605 22.2996 14.1600 1.65 c
121.9258 23.7388 27.0500 2.28 c
120.7558 22.3543 18.4200 1.12 c
120.6550 21.8603 51.6200 2.52 c
120.6985 23.5316 15.1000 1.20 c
120.5801 21.8486 36.7200 2.53 c
120.5558 21.8783 32.2300 2.62 c
121.8016 24.5420 9.7400 2.02 c
120.4051 22.0546 45.0700 2.55 c
120.7401 22.3963 8.0600 1.46 c
120.3778 22.0850 44.0600 3.23 c
120.3535 22.0865 42.4500 2.51 c
120.6428 21.8955 32.4500 2.32 c
120.4958 22.0195 26.5900 1.86 c
120.7550 22.3185 14.7100 1.97 c
120.4813 21.9240 32.8400 2.36 c
120.7635 22.2661 8.4000 2.04 c
122.1598 24.3140 52.0000 4.20 c
120.7510 22.3341 15.0700 1.51 c
120.4835 23.5168 11.9400 2.15 c
121.9370 24.8546 101.4600 2.80 c
120.7486 22.3211 15.9200 1.34 c
121.3905 23.1796 22.3200 2.22 c
120.7558 22.2641 11.8900 2.16 c
120.7498 22.2605 18.0300 1.53 c
120.7578 22.2686 15.6500 2.29 c
121.5018 23.6886 24.7100 1.53 c
120.4795 21.8028 42.2900 2.83 c
121.8445 24.7125 5.7800 1.69 c
120.7653 22.2651 8.3100 1.95 c
120.5486 21.8023 46.9400 2.92 c
120.6978 23.1036 7.0000 2.83 c
120.4295 21.9590 44.4600 3.45 c
120.7713 22.2873 15.1200 1.61 c
120.3958 22.0468 34.3800 2.64 c
120.4435 23.1226 10.4800 1.50 c
120.8330 23.5645 6.1900 2.48 c
120.6495 21.8495 51.3500 2.93 c
120.3270 23.0926 20.3100 1.84 c
120.5758 21.7798 44.6400 2.80 c
120.5800 21.9000 46.1200 2.12 c
120.5490 21.8431 37.5200 2.65 c
120.5975 23.5941 9.5400 2.28 c
122.1108 24.8240 7.8200 2.94 c
121.0313 24.1586 8.6300 1.86 c
120.5590 21.8391 43.7600 2.92 c
120.5251 21.9215 38.2500 2.36 c
120.4376 21.9873 25.4900 2.22 c
120.4621 22.0906 40.4600 2.76 c
120.5166 21.8853 38.9300 2.30 c
120.7690 22.2421 10.4800 1.45 c
120.7373 22.4113 10.1500 0.92 c
120.7801 22.1513 14.6600 1.85 c
120.3700 22.4211 31.9200 2.33 c
120.4486 21.9561 35.9600 2.32 c
120.3795 21.9911 36.8800 2.34 c
120.7653 22.2720 16.6200 1.67 c
120.4210 22.0183 32.1600 2.95 c
120.3453 22.0133 32.4900 2.45 c
121.2748 23.0933 11.2700 1.78 c
120.7523 22.2600 12.5800 1.93 c
120.0983 22.6021 24.8900 2.41 c
120.7571 22.2788 15.6900 1.99 c
120.4145 22.0321 32.6200 2.51 c
121.3558 21.8091 68.8500 3.01 c
120.8288 22.2003 20.2600 1.80 c
120.4761 21.9191 27.0300 2.33 c
120.7040 21.9106 42.8300 2.58 c
120.3963 22.0166 36.9100 2.63 c
120.4221 21.7498 36.4200 2.47 c
122.1360 24.9070 106.1700 3.30 c
120.9355 22.5743 8.0300 0.77 c
120.6050 21.9631 60.6700 2.61 c
120.6170 21.7650 46.5400 2.74 c
120.9850 24.4271 5.9100 1.90 c
120.4416 21.7478 12.0300 2.36 c
120.6423 21.8390 57.4400 2.51 c
120.4663 22.0231 11.6400 2.49 c
121.8365 24.5065 16.3700 2.15 c
121.1983 22.3801 68.9200 2.62 c
120.4643 21.9495 32.2200 2.60 c
120.7141 23.0880 7.1800 1.97 c
121.3480 22.8856 18.1500 2.85 c
120.6721 21.8165 58.1300 2.16 c
120.5063 21.8690 32.8600 2.29 c
120.4508 22.0573 53.0500 2.49 c
120.5221 22.1798 41.6800 2.29 c
121.7138 24.1878 12.3200 2.04 c
121.7620 24.4371 7.5800 1.52 c
121.6315 24.3475 18.2300 3.17 c
120.8913 24.4005 15.5400 1.92 c
121.5915 23.8621 38.5400 2.51 c
121.9150 24.4146 14.6200 1.80 c
120.4686 22.1013 62.8900 2.68 c
122.5690 22.6293 9.8100 3.00 c
120.5040 21.9820 48.6900 2.81 c
120.4763 21.9773 22.6700 2.20 c
120.4426 21.8275 24.6400 2.55 c
120.4965 22.1110 44.5300 3.78 c
120.8770 24.2705 30.3700 2.20 c
120.6335 21.8040 46.7700 3.03 c
121.8548 24.7368 82.7500 3.28 c
121.7675 24.6865 12.4300 1.91 c
121.6420 24.4086 23.1400 2.21 c
120.6740 21.8501 46.5400 2.89 c
121.5708 23.2278 33.3500 2.65 c
121.8216 24.8823 77.9900 2.90 c
120.4516 22.0475 48.2400 3.73 c
121.3515 22.2130 2.7000 2.68 c
122.0770 24.8951 29.5200 2.00 c
120.5875 21.7955 52.6600 2.66 c
120.6255 21.7830 34.1800 2.46 c
120.4228 21.9481 50.3200 2.49 c
122.2251 24.7966 7.0900 2.54 c
121.1411 23.7621 32.1300 2.62 c
120.4271 23.1586 7.1100 2.46 c
120.3878 23.0460 21.7300 2.18 c
120.6681 21.7960 45.3500 4.12 c
121.9871 24.8428 10.5000 2.79 c
121.9865 24.8475 9.0100 2.02 c
121.9948 24.8500 9.7300 2.10 c
121.9876 24.8450 5.1200 2.02 c
121.7621 24.5056 15.6700 1.89 c
121.8330 24.1261 6.5800 2.43 c
121.7585 24.4491 7.2100 1.47 c
120.3810 23.1695 16.7200 1.14 c
120.3730 21.8850 21.5000 2.92 c
121.1960 23.0686 12.1400 2.76 c
121.7953 24.4380 5.2100 1.42 c
121.2905 22.9963 2.5900 1.57 c
120.9405 24.2453 11.0800 1.97 c
121.7295 24.0611 55.1800 3.12 c
120.4521 21.8046 33.6700 2.81 c
119.9680 22.3413 28.8200 2.55 c
122.2036 24.0166 4.4800 2.79 c
121.3241 23.1736 18.2000 1.26 c
121.9450 24.4128 24.4300 2.20 c
121.5351 23.0305 27.1500 2.45 c
120.3656 22.0053 21.8200 2.32 c
120.5035 22.0440 53.0000 2.87 c
121.0196 24.0351 18.2700 1.79 c
121.1351 21.6743 14.0100 2.61 c
120.1856 22.1695 41.8000 3.09 c
120.6206 21.8520 49.2600 2.09 c
120.4433 21.9155 53.8400 2.41 c
121.0076 22.5281 18.9800 1.77 c
121.9968 24.8436 9.0000 2.41 c
121.9978 24.8511 7.5200 2.17 c
120.4711 22.0728 45.8600 2.74 c
121.9023 24.4901 8.7700 1.36 c
121.8408 24.3248 19.3100 1.44 c
120.8566 22.1695 19.2500 1.31 c
120.7098 22.8245 12.8400 1.38 c
120.1086 22.6235 31.0800 2.22 c
120.3028 21.9356 55.6200 2.57 c
120.7636 23.5596 7.7200 1.16 c
121.2038 23.7898 9.8300 3.36 c
121.6175 23.4881 27.2300 2.21 c
120.4688 23.2043 12.6600 1.09 c
120.3578 22.0716 45.0300 2.14 c
121.4693 24.6633 60.2900 2.41 c
121.0633 24.2831 12.6800 1.95 c
122.2240 24.8225 26.7400 2.57 c
120.9223 22.2573 9.6500 1.75 c
121.6975 24.0426 31.5900 3.05 c
120.4491 22.1021 46.2400 2.84 c
120.6118 21.8663 46.1600 2.47 c
120.6996 24.4871 6.0300 2.47 c
120.4556 22.0373 54.1500 3.12 c
121.9948 24.8450 8.7200 1.95 c
121.9865 24.8451 7.3600 1.51 c
120.4966 21.9555 52.6400 3.74 c
